Method	k	dataset	nF	run	trainTime	testTime	MacroF1	microF1
BoW	1	reuters21578	28828	0	1.200803995	0.05094695091	0.5636352216	0.8551360843
RI	2	reuters21578	5000	0	1.673724175	0.05844902992	0.5439774328	0.8404944085
KRI	2	reuters21578	5000	0	283.4283819	384.320246	0.5790422811	0.8429394813
RI	2	reuters21578	10000	0	1.843939066	0.06209611893	0.5554648742	0.8497058824
KRI	2	reuters21578	10000	0	159.0665269	233.9161952	0.5857865531	0.8519480519
RI	2	reuters21578	28828	0	2.099164963	0.07642602921	0.5612809697	0.8516620296
KRI	2	reuters21578	28828	0	93.44451499	144.8984702	0.5396752586	0.853968718
RI	2	reuters21578	5000	1	1.702029943	0.06014609337	0.5565957917	0.8485471089
KRI	2	reuters21578	5000	1	283.145879	382.40521	0.5785684575	0.8478229631
RI	2	reuters21578	10000	1	1.776275873	0.06033301353	0.5556525867	0.8461877479
KRI	2	reuters21578	10000	1	160.094449	228.794354	0.5913776881	0.8496901571
RI	2	reuters21578	28828	1	2.130668879	0.07241010666	0.5589472761	0.8550109729
KRI	2	reuters21578	28828	1	94.0671289	145.1996081	0.5518260617	0.8536478812
RI	2	reuters21578	5000	2	1.723981142	0.05733394623	0.5536141344	0.843099631
KRI	2	reuters21578	5000	2	284.465029	387.892107	0.566534639	0.8439890316
RI	2	reuters21578	10000	2	1.785869122	0.06017184258	0.5534632913	0.8446473273
KRI	2	reuters21578	10000	2	158.797646	230.6987269	0.5816572326	0.8480046103
RI	2	reuters21578	28828	2	2.139938116	0.07261395454	0.5622892995	0.8515693752
KRI	2	reuters21578	28828	2	92.96623278	140.9578221	0.5497507951	0.8529584066
RI	2	reuters21578	5000	3	1.722640991	0.05803585052	0.5467690025	0.8468229397
KRI	2	reuters21578	5000	3	277.1598151	375.549377	0.5803919846	0.8492953696
RI	2	reuters21578	10000	3	1.888501167	0.06023097038	0.5584601532	0.8515750916
KRI	2	reuters21578	10000	3	152.180886	223.006454	0.565627001	0.8537742631
RI	2	reuters21578	28828	3	2.144967079	0.07280898094	0.5627042894	0.8545933294
KRI	2	reuters21578	28828	3	96.06467915	145.461704	0.5580088964	0.8508335771
RI	2	reuters21578	5000	4	1.724176168	0.05813789368	0.5451759167	0.8453274467
KRI	2	reuters21578	5000	4	284.9726012	383.8254149	0.5747570192	0.8444828082
RI	2	reuters21578	10000	4	1.784720898	0.06237411499	0.5590555876	0.8511198946
KRI	2	reuters21578	10000	4	154.7981508	224.2895482	0.5745063261	0.8528606427
RI	2	reuters21578	28828	4	2.141546965	0.07207608223	0.5576390533	0.8532433226
KRI	2	reuters21578	28828	4	95.06224203	146.451165	0.5405984682	0.8495756512
BoW	1	20newsgroups	26747	0	0.8160538673	0.01709294319	0.5944797714	0.6150712831
RI	2	20newsgroups	5000	0	0.7815129757	0.0247938633	0.5656254802	0.5841451426
KRI	2	20newsgroups	5000	0	62.24180412	161.5956919	0.5723639854	0.5850717855
RI	2	20newsgroups	10000	0	0.9345858097	0.02538514137	0.5804574473	0.6004458315
KRI	2	20newsgroups	10000	0	33.60919595	87.71555305	0.6056810557	0.6221923109
RI	2	20newsgroups	26747	0	0.8176341057	0.03301906586	0.5935166503	0.614292055
KRI	2	20newsgroups	26747	0	17.15469909	45.43489194	0.5789492548	0.6024398995
RI	2	20newsgroups	5000	1	0.8794589043	0.02572202683	0.5645454822	0.5844748858
KRI	2	20newsgroups	5000	1	59.43876696	159.254426	0.5754898985	0.586823492
RI	2	20newsgroups	10000	1	0.9413568974	0.02595901489	0.585731197	0.6063034188
KRI	2	20newsgroups	10000	1	35.30907607	86.92266893	0.6131247465	0.6298370247
RI	2	20newsgroups	26747	1	1.194020987	0.03022313118	0.5871878472	0.6080071174
KRI	2	20newsgroups	26747	1	18.233814	46.44113398	0.5754646761	0.5982599336
RI	2	20newsgroups	5000	2	0.805300951	0.0237390995	0.5671499753	0.586954582
KRI	2	20newsgroups	5000	2	59.35453606	158.085429	0.5782984576	0.5898880864
RI	2	20newsgroups	10000	2	0.9463739395	0.02496910095	0.5785868596	0.5986128401
KRI	2	20newsgroups	10000	2	33.61315513	86.42279792	0.60656184	0.6228657516
RI	2	20newsgroups	26747	2	1.084889889	0.03069210052	0.5913477574	0.6115101534
KRI	2	20newsgroups	26747	2	18.44096613	47.29641581	0.5786897868	0.6036415822
RI	2	20newsgroups	5000	3	0.8953619003	0.02414107323	0.5682884973	0.588497151
KRI	2	20newsgroups	5000	3	60.45035815	157.998405	0.5810238523	0.59375
RI	2	20newsgroups	10000	3	0.9409549236	0.02660107613	0.5810327001	0.6015520471
KRI	2	20newsgroups	10000	3	34.21111393	91.1705811	0.6026126813	0.6184685062
RI	2	20newsgroups	26747	3	1.076919079	0.03068900108	0.5891956902	0.6097214831
KRI	2	20newsgroups	26747	3	18.84447598	46.47448111	0.5833438541	0.607895677
RI	2	20newsgroups	5000	4	0.8078269959	0.024695158	0.5616695726	0.5795750022
KRI	2	20newsgroups	5000	4	59.14780307	158.517463	0.5655616648	0.5782035928
RI	2	20newsgroups	10000	4	0.9480719566	0.02549505234	0.5834976711	0.6042628774
KRI	2	20newsgroups	10000	4	35.91434979	87.21932411	0.6093045101	0.6258118235
RI	2	20newsgroups	26747	4	1.077456951	0.03056502342	0.5910029365	0.6112791318
KRI	2	20newsgroups	26747	4	19.131778	46.23473811	0.5795402142	0.6018634653
RI	5	reuters21578	5000	0	5.325091124	0.1275048256	0.555809809	0.8441634813
KRI	5	reuters21578	5000	0	1868.740888	2814.211334	0.5753220234	0.8462093863
RI	5	reuters21578	10000	0	5.547646999	0.1354539394	0.5585265485	0.8485205358
KRI	5	reuters21578	10000	0	1722.704105	2285.994348	0.5857144645	0.8566473988
RI	5	reuters21578	28828	0	5.64790082	0.174695015	0.5631304984	0.8514386377
KRI	5	reuters21578	28828	0	744.186245	898.9639111	0.5498115867	0.8514386377
RI	5	reuters21578	5000	1	5.353486061	0.1308820248	0.5512931497	0.8385663507
KRI	5	reuters21578	5000	1	1874.143517	2806.032461	0.5715068179	0.8382246639
RI	5	reuters21578	10000	1	5.553614855	0.1561741829	0.5577129984	0.848324515
KRI	5	reuters21578	10000	1	1688.400734	2261.572567	0.5853030518	0.8547598504
RI	5	reuters21578	28828	1	5.751610041	0.2246239185	0.5622491076	0.8516451234
KRI	5	reuters21578	28828	1	755.5984371	907.36991	0.5531126349	0.8543094648
RI	5	reuters21578	5000	2	5.348565102	0.1223168373	0.551894147	0.842865566
KRI	5	reuters21578	5000	2	1860.6442	2801.651367	0.5783136665	0.8427274038
RI	5	reuters21578	10000	2	5.450652838	0.1427130699	0.5599318386	0.8485026424
KRI	5	reuters21578	10000	2	1691.410663	2261.445763	0.5812400513	0.8514252807
RI	5	reuters21578	28828	2	5.748219013	0.1749839783	0.5638748557	0.8543007607
KRI	5	reuters21578	28828	2	746.2427011	897.7174809	0.5574848092	0.8555149744
RI	5	reuters21578	5000	3	5.34781003	0.1244449615	0.5565613796	0.8452696729
KRI	5	reuters21578	5000	3	1870.425143	2802.64604	0.5915199479	0.8440023068
RI	5	reuters21578	10000	3	5.651114941	0.1522710323	0.5584532555	0.849419715
KRI	5	reuters21578	10000	3	1703.060026	2275.233215	0.5928489615	0.8557386528
RI	5	reuters21578	28828	3	5.652981997	0.1672050953	0.5602717283	0.8529972153
KRI	5	reuters21578	28828	3	753.883101	911.842351	0.5566333403	0.8538405267
RI	5	reuters21578	5000	4	5.354132891	0.1270680428	0.5580974596	0.8478356566
KRI	5	reuters21578	5000	4	1870.817685	2808.798163	0.5809360913	0.8485981308
RI	5	reuters21578	10000	4	3.456132889	0.1472949982	0.557682171	0.8504700353
KRI	5	reuters21578	10000	4	1687.829634	2265.233041	0.5832055234	0.8563591742
RI	5	reuters21578	28828	4	5.662788868	0.1682860851	0.5610076914	0.8502344666
KRI	5	reuters21578	28828	4	746.5056839	902.8994911	0.5576532767	0.8550109729
RI	5	20newsgroups	5000	0	1.410645962	0.08348703384	0.565792558	0.5851951548
KRI	5	20newsgroups	5000	0	414.220742	1234.577034	0.5710271275	0.5837082262
RI	5	20newsgroups	10000	0	1.500927925	0.06875610352	0.5826951494	0.6023152271
KRI	5	20newsgroups	10000	0	344.138418	943.9252479	0.6028079305	0.619924338
RI	5	20newsgroups	26747	0	1.608022928	0.08794808388	0.5897954601	0.6097993964
KRI	5	20newsgroups	26747	0	166.3410611	399.537045	0.5769407504	0.6003421266
RI	5	20newsgroups	5000	1	1.429900885	0.06198215485	0.5702940708	0.5904321537
KRI	5	20newsgroups	5000	1	410.2816842	1240.278183	0.5732361358	0.5858890831
RI	5	20newsgroups	10000	1	1.516880035	0.0959751606	0.583475426	0.6027470567
KRI	5	20newsgroups	10000	1	343.341507	942.5626869	0.6094633956	0.6274311695
RI	5	20newsgroups	26747	1	1.723656178	0.0885310173	0.5880826297	0.6081488043
KRI	5	20newsgroups	26747	1	162.963881	396.4937069	0.5804970496	0.6041386724
RI	5	20newsgroups	5000	2	1.437032938	0.0753839016	0.5662789379	0.5873526259
KRI	5	20newsgroups	5000	2	413.8149421	1240.150642	0.5771460532	0.5895303714
RI	5	20newsgroups	10000	2	1.433037996	0.06990814209	0.5797691061	0.5998042182
KRI	5	20newsgroups	10000	2	345.4605529	951.0545261	0.602699346	0.6187594554
RI	5	20newsgroups	26747	2	1.526381969	0.09816217422	0.59115028	0.6113870167
KRI	5	20newsgroups	26747	2	163.2769051	397.828934	0.5799705885	0.6032686782
RI	5	20newsgroups	5000	3	1.433537006	0.07520198822	0.5629038096	0.582164689
KRI	5	20newsgroups	5000	3	411.6988471	1239.282058	0.5754144319	0.5879996796
RI	5	20newsgroups	10000	3	1.540740013	0.07436013222	0.5791672965	0.5985557636
KRI	5	20newsgroups	10000	3	345.2524791	941.4618039	0.6030978513	0.6198319328
